id,name,x,y
amb,Ambon,128.1843218,-3.6947983
bpp,Balikpapan,116.8291272,-1.277385
bna,Banda Aceh,95.3168672,5.5576385
bdg,Bandung,107.6092794,-6.9143356
bjm,Banjarmasin,114.5918511,-3.3236478
btm,Batam,104.0558977,1.1292039
bgl,Bengkulu,102.253207,-3.790198
cbn,Cirebon,108.5721852,-6.7189802
dpr,Denpasar,115.222783,-8.6683054
gto,Gorontalo,123.077416,0.5353762
jkt,Jakarta,106.8247514,-6.1667636
jmb,Jambi,103.5828587,-1.6091815
jap,Jayapura,140.7058042,-2.5390505
jmr,Jember,113.6793971,-8.1782815
kdr,Kediri,112.0138795,-7.8141708
kdi,Kendari,122.5507713,-3.9651584
kpg,Kupang,123.6059201,-10.1709413
bdl,Lampung,105.267406,-5.4434601
lsm,Lhokseumawe,97.1411612,5.1823794
mks,Makassar,119.4141384,-5.1341616
mlg,Malang,112.6314473,-7.9816268
mam,Mamuju,118.8895996,-2.6778004
mnd,Manado,124.8428007,1.4677089
mnk,Manokwari,134.07563,-0.8655739
mtr,Mataram,116.102498,-8.580817
mdn,Medan,98.6770692,3.5907934
pad,Padang,100.3622993,-0.9430504
plk,Palangkaraya,113.925826,-2.2136981
plg,Palembang,104.7544829,-2.975594
pal,Palu,119.870193,-0.8891689
pgp,Pangkal Pinang,106.1570726,-2.1489221
pbr,Pekanbaru,101.446956,0.5146997
pms,Pematang Siantar,99.0582705,2.9556307
ptk,Pontianak,109.35379,-0.059941
pwt,Purwokerto,109.2379672,-7.4222463
smr,Samarinda,117.1380567,-0.5008913
smg,Semarang,110.4226331,-6.9946758
srg,Serang,106.1498068,-6.1758653
sbg,Sibolga,98.77534,1.7474852
slo,Solo,110.8295009,-7.5708804
sby,Surabaya,112.7377473,-7.2441903
tar,Tarakan,117.5750747,3.3216291
tsm,Tasikmalaya,108.2257789,-7.3265654
tgl,Tegal,109.1288435,-6.8679808
tte,Ternate,127.3807226,0.7871245
yyk,Yogyakarta,110.3659379,-7.8018115
