100K	50K	20K	10K	5K	2K	1K	1L	500L	200L	100L	50L
-1914	-1552	-569	42	-698	-397	-55	-220	267	318	370	0
72	-135	38	114	89	111	1	4	152	156	114	0
373	167	10	40	25	61	0	0	206	176	126	0
245	233	6	33	31	86	2	8	233	216	226	0
1418	1673	305	675	819	1235	54	216	284	304	302	0
-449	-812	71	109	141	165	18	72	22	28	38	0
-88	-351	-74	-90	-159	-50	5	20	244	256	280	0
256	50	85	170	190	213	35	140	205	98	84	0
230	187	34	110	121	157	11	44	182	194	204	0
321	495	16	81	56	91	7	28	205	206	178	0
493	284	18	60	59	117	10	40	95	56	62	0
1194	692	18	344	185	261	29	116	115	34	38	0

